"date","NYT_dailySD","CD_dailySD","CNBC_dailySD","NYT_MSS","CD_MSS","CNBC_MSS","NYT_length","CD_length","CNBC_length","n_NYT_articles","n_CD_articles","n_CNBC_articles"
2013-06-04,NA,1.06881062891533,NA,NA,2.06119893519303,NA,NA,7735,NA,0,0,8
2013-06-04,NA,1.06881062891533,NA,NA,-0.766847045053897,NA,NA,3422,NA,0,0,8
2013-06-04,NA,1.06881062891533,NA,NA,1.44086246301572,NA,NA,11979,NA,0,0,8
2013-06-04,NA,1.06881062891533,NA,NA,-0.0439498772444584,NA,NA,8710,NA,0,0,8
2013-06-04,NA,1.06881062891533,NA,NA,0.827011091947303,NA,NA,5910,NA,0,0,8
2013-06-04,NA,1.06881062891533,NA,NA,-0.260748627978614,NA,NA,3838,NA,0,0,8
2013-06-04,NA,1.06881062891533,NA,NA,-0.0309731243750325,NA,NA,3067,NA,0,0,8
2013-06-04,NA,1.06881062891533,NA,NA,-0.979786008750503,NA,NA,3151,NA,0,0,8
2013-06-05,NA,0.939161321412574,NA,NA,2.34884866588626,NA,NA,9742,NA,0,0,8
2013-06-05,NA,0.939161321412574,NA,NA,0.443920660100265,NA,NA,4103,NA,0,0,8
2013-06-05,NA,0.939161321412574,NA,NA,0.0212579015752797,NA,NA,3085,NA,0,0,8
2013-06-05,NA,0.939161321412574,NA,NA,0.645055821885346,NA,NA,5623,NA,0,0,8
2013-06-05,NA,0.939161321412574,NA,NA,0.0930113654646096,NA,NA,3908,NA,0,0,8
2013-06-05,NA,0.939161321412574,NA,NA,-0.493306437156959,NA,NA,5867,NA,0,0,8
2013-06-05,NA,0.939161321412574,NA,NA,1.31714346071876,NA,NA,5450,NA,0,0,8
2013-06-05,NA,0.939161321412574,NA,NA,-0.326337117003907,NA,NA,4217,NA,0,0,8
2013-06-06,NA,1.34839356062276,NA,NA,1.18189031245548,NA,NA,4154,NA,0,0,6
2013-06-06,NA,1.34839356062276,NA,NA,0.374465715606532,NA,NA,4309,NA,0,0,6
2013-06-06,NA,1.34839356062276,NA,NA,-2.42316466840906,NA,NA,2240,NA,0,0,6
2013-06-06,NA,1.34839356062276,NA,NA,1.17563745532537,NA,NA,5451,NA,0,0,6
2013-06-06,NA,1.34839356062276,NA,NA,0.150745297936641,NA,NA,3458,NA,0,0,6
2013-06-06,NA,1.34839356062276,NA,NA,0.711014601697378,NA,NA,7683,NA,0,0,6
2013-06-07,NA,1.23383201585794,NA,NA,2.0541616402978,NA,NA,7772,NA,0,0,7
2013-06-07,NA,1.23383201585794,NA,NA,-0.607047016119873,NA,NA,2624,NA,0,0,7
2013-06-07,NA,1.23383201585794,NA,NA,-0.338826510248413,NA,NA,3310,NA,0,0,7
2013-06-07,NA,1.23383201585794,NA,NA,2.46364250459698,NA,NA,6071,NA,0,0,7
2013-06-07,NA,1.23383201585794,NA,NA,-0.429659516315862,NA,NA,3752,NA,0,0,7
2013-06-07,NA,1.23383201585794,NA,NA,0.379389615899278,NA,NA,4095,NA,0,0,7
2013-06-07,NA,1.23383201585794,NA,NA,0.928673522201474,NA,NA,9977,NA,0,0,7
2013-06-08,NA,NA,NA,NA,-0.757047168141339,NA,NA,3540,NA,0,0,1
2013-06-09,NA,NA,NA,NA,-0.552910994296935,NA,NA,3730,NA,0,0,1
2013-06-10,NA,0.951038768627597,NA,NA,-0.603529130797476,NA,NA,2574,NA,0,0,7
2013-06-10,NA,0.951038768627597,NA,NA,-0.0214805410384443,NA,NA,4184,NA,0,0,7
2013-06-10,NA,0.951038768627597,NA,NA,2.05451691609448,NA,NA,10965,NA,0,0,7
2013-06-10,NA,0.951038768627597,NA,NA,-0.0300359014745662,NA,NA,3492,NA,0,0,7
2013-06-10,NA,0.951038768627597,NA,NA,-0.552530240609482,NA,NA,5878,NA,0,0,7
2013-06-10,NA,0.951038768627597,NA,NA,0.911307234377915,NA,NA,4049,NA,0,0,7
2013-06-10,NA,0.951038768627597,NA,NA,0.799280271495377,NA,NA,6463,NA,0,0,7
2013-06-11,NA,0.463348908954852,NA,NA,1.40625777839955,NA,NA,5580,NA,0,0,6
2013-06-11,NA,0.463348908954852,NA,NA,0.782970044472531,NA,NA,7316,NA,0,0,6
2013-06-11,NA,0.463348908954852,NA,NA,1.22805905432223,NA,NA,4332,NA,0,0,6
